OTUId	L87107IM00	N08354M600	L08239SN00	M04248CT00	N18747SN02	N15954SN00	L19198M600	L13716Y100
JUJ_2855	0	0	0	0	0	0	0	0
JUJ_14000	0	0	0	0	0	0	0	0
JUJ_11446	0	0	0	0	0	0	0	0
JUJ_1716	10	144	92	26	64	27	55	19
JUJ_12484	2	134	68	362	768	35	1	35
JUJ_13705	0	0	0	0	0	0	0	0
JUJ_751	0	0	0	0	0	0	0	0
JUJ_16683	0	0	0	0	0	0	0	0
JUJ_1533	0	2	0	0	0	2	0	1
JUJ_19994	0	0	0	0	0	0	0	0
JUJ_21383	0	1	377	3	0	2	0	6
JUJ_14220	0	0	0	56	0	5	0	0
JUJ_13260	0	1070	28	213	278	340	1	12
JUJ_440	3	11	1959	19	8	2	6	18
JUJ_18034	0	0	0	0	0	1	0	0
JUJ_11883	0	4	189	0	2	0	0	0
JUJ_5933	0	128	1	457	61	4	0	30
JUJ_18004	0	0	0	0	0	0	0	0
JUJ_1876	0	0	0	0	0	0	0	0
JUJ_16571	0	0	0	0	0	0	0	0
JUJ_5802	0	0	0	0	0	2	0	0
JUJ_18583	0	2	33	0	4	1	0	0
JUJ_11890	4	199	6287	0	464	0	1	0
JUJ_12810	0	0	0	9	0	0	0	0
JUJ_12589	0	15	35	1	2	12	0	0
JUJ_9167	0	1	7	5	2	0	6	2
JUJ_21456	0	0	662	707	0	0	0	0
JUJ_18035	0	0	0	0	0	0	0	0
JUJ_19298	0	347	140	22	660	0	0	0
JUJ_14216	0	34	51	101	152	0	1	16
JUJ_906	1	0	0	28	0	0	1	0
JUJ_12792	0	99	0	0	0	55	2	2
JUJ_5843	0	0	0	1	0	0	0	0
JUJ_18836	0	0	0	0	0	0	0	0
JUJ_15460	0	1	3	3	1	0	3	4
JUJ_6521	0	1	0	6	7	1	0	2
JUJ_1709	0	3	0	1	1	22	0	0
JUJ_67	0	0	0	25	3	0	11	7
JUJ_13914	0	1	1	2	2	1	9479	4
JUJ_17067	0	75	2	144	134	35	1	5
JUJ_11500	0	0	13	3	0	0	9973	2
JUJ_11719	1	7	0	10	1	4	0	16
JUJ_10742	0	1402	304	1218	0	0	2	6
JUJ_16433	0	0	0	0	0	0	0	0
JUJ_11570	0	2	1146	1	0	0	984	0
JUJ_12406	0	50	11	12	116	5	0	0
JUJ_18651	0	0	0	0	0	0	0	0
JUJ_1044	18	44	1	16	1	0	0	0
JUJ_18615	0	0	1	0	0	0	0	0
JUJ_11895	0	0	5	1	0	0	0	0
JUJ_13403	0	0	0	0	0	0	0	0
JUJ_376	0	0	1	35	2	0	3	0
JUJ_10060	0	0	2	21	9	0	0	0
JUJ_18029	0	0	0	0	0	0	0	0
JUJ_1743	0	0	0	0	0	0	0	0
JUJ_9663	0	0	0	0	0	0	0	0
JUJ_17352	0	1059	1	5	20	0	0	0
JUJ_18005	0	0	0	0	0	0	0	0
JUJ_12427	35	3	0	1	9	0	0	1
JUJ_15380	0	2	4	0	0	0	3083	0
JUJ_12413	1	4	9	69	0	111	1	1
JUJ_5539	0	0	0	0	0	0	0	0
JUJ_13384	0	0	0	0	0	0	0	0
JUJ_814	0	87	0	2	0	6	1	9
JUJ_17233	0	0	17	0	0	0	0	0
JUJ_18066	0	0	0	0	0	0	1	0
JUJ_13708	0	11	3	0	0	0	0	0
JUJ_4332	0	1	0	4	1	0	2	0
JUJ_9738	0	0	0	0	0	0	0	0
JUJ_16852	0	3	51	34	0	49	0	0
JUJ_915	0	21	1	0	0	0	0	0
JUJ_16953	0	0	1	1	0	0	0	2
JUJ_13427	0	1	29	0	0	0	1	1
JUJ_18124	0	1	0	2	0	1	0	8
JUJ_18071	0	0	0	0	0	0	0	0
JUJ_17392	0	0	0	0	0	0	0	0
JUJ_17199	21	1	316	3	1	0	0	0
JUJ_1772	0	0	0	0	0	0	0	0
JUJ_13454	0	1	2	3	71	83	1	38
JUJ_12790	0	265	10	74	116	22	0	3
JUJ_4350	0	0	0	11	0	0	0	0
JUJ_17642	0	0	0	0	0	0	0	1
JUJ_7737	0	0	0	0	0	0	0	13
JUJ_110	25	49	138	86	166	155	2	4
JUJ_476	1	275	1409	109	390	25	1	7
JUJ_15053	1	0	0	1	0	0	1	0
JUJ_18139	0	97	0	0	0	0	0	0
JUJ_14313	0	320	9	20	1	0	0	20
JUJ_13517	0	0	0	0	0	0	0	0
JUJ_776	0	664	26	122	13	0	1	2
JUJ_1807	0	0	0	0	0	0	0	0
