	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
	Firmicutes	Bacteroidetes	Firmicutes	Firmicutes	Bacteroidetes	Actinobacteria	Bacteroidetes	Bacteroidetes	Bacteroidetes	Bacteroidetes	Firmicutes	Firmicutes	Bacteroidetes	Firmicutes	Actinobacteria	Firmicutes
	Clostridia	Bacteroidia	Clostridia	Clostridia	Bacteroidia	Actinobacteria	Bacteroidia	Bacteroidia	Bacteroidia	Bacteroidia	Negativicutes	Clostridia	Bacteroidia	Clostridia	Actinobacteria	Clostridia
	Clostridiales	Bacteroidales	Clostridiales	Clostridiales	Bacteroidales	Actinomycetales	Bacteroidales	Bacteroidales	Bacteroidales	Bacteroidales	Selenomonadales	Clostridiales	Bacteroidales	Clostridiales	Actinomycetales	Clostridiales
	Peptoniphilaceae<0.8	Prevotellaceae	Peptoniphilaceae	Clostridiales_Incertae_Sedis_XI	Porphyromonadaceae	Corynebacteriaceae	Porphyromonadaceae	Prevotellaceae	Prevotellaceae	Prevotellaceae	Veillonellaceae	Peptostreptococcaceae	Prevotellaceae	Clostridiales_Incertae_Sedis_XI	Corynebacteriaceae	Clostridiales_Incertae_Sedis_XI
		Prevotella	Peptoniphilus	Finegoldia	Porphyromonas	Corynebacterium	Porphyromonas	Prevotella	Prevotella	Prevotella	Dialister	Peptostreptococcus	Prevotella	Anaerococcus	Corynebacterium	Ezakiella
		Prevotella_timonensis_T	Peptoniphilus_gorbachii_T<0.8	Finegoldia_magna_T	Porphyromonas_bennonis_T<0.8	Corynebacterium_accolens_T<0.8	Porphyromonas_sp_sp2-iso-ab16x2<0.8	S000414458_Prevotella	Prevotella_disiens_T	S000414448_Prevotella	Dialister_propionicifaciens_T	Peptostreptococcus_anaerobius_T	S000414459_Prevotella	Anaerococcus_murdochii_T	Corynebacterium_glucuronolyticum_T<0.8	Ezakiella_peruensis_T
N03650CT01	6198	243	279	26	33	0	3965	10	37	7	1639	489	121	57	3	159
L19384SN00	10079	4031	1306	276	302	2	2979	10246	7823	1	710	5328	297	203	8	500
L02328CT00	5746	2581	7798	20314	4240	0	1000	128	9424	2	2772	8018	2908	3371	4	609
L69868-IM00	752	1144	1372	9116	81	3	510	9951	2657	23	843	3498	141	518	739	9
L04213Y100	68	29	932	911	122	566	10	14	12	7	25	27	27	21	517	9
L02328M600	17822	4321	3567	567	1513	0	2502	486	9336	7	4132	797	6041	831	5	510
M19741SN00	15842	9254	7206	1896	7164	14	7453	3	4	6	461	4	3638	1179	2	5345
N01189Y100	16459	418	1945	522	3211	27	651	4	62	6398	1582	118	656	585	1082	1485
N09642M600	1394	10198	6342	544	494	8	5657	10	16521	124	5535	5	1477	762	5	4
M06573CT00	16	694	620	13	76	0	1738	5	8	5	3	0	207	2	4	4
L14745Y100	4777	4792	860	271	157	5	2812	704	9227	528	1975	4371	135	256	18	1648
L21028SN00	5538	1131	896	412	1643	34	477	9	12	20	1040	5	498	46	15	3924
N00786CT00	3093	718	4088	4063	230	54	239	164	150	136	515	1929	616	939	1154	521
N09147SN00	1897	1689	574	19	625	180	2844	7	3	7	8	8	3405	648	4	64
L35209-IM00	6767	4248	1538	27	5698	1	3303	103	736	345	1580	86	389	1238	1	1828
L90244-PR00	3637	2364	313	448	298	2	1850	6552	0	1	6050	2310	53	2169	161	68
L06881Y100	14117	8497	2438	847	1372	55	1685	3	50	3674	2335	19	1767	880	16	5838
M11335SN00	33	544	684	5921	51	18	6	6983	3	5	284	78	33	165	2107	10
L13295M600	61	292	590	561	26	419	9	30810	43	14	1808	119	75	453	5058	10
M08484SN01	2794	5556	3682	357	80	1	406	8	12	10316	28	3	880	533	3434	301
N03927CT00	8595	2811	1105	715	204	3	1381	2461	5095	6180	2815	1902	550	173	9	1769
L15025SN00	23	20	14	14	2	250	6	11	3	6	8	5	5	7	673	8
M09895SN00	15196	4548	3073	1215	178	1	1214	24	358	2097	1584	8	1782	815	9	3138
M07227SN00	12	14	2866	3306	8	32	1039	2	48	48618	74	221	2314	181	180	4
L04328CT00	2326	2518	4271	7459	2097	35	54	98	29	12	30	726	1864	970	3534	682
L18402M600	28	3766	27	31	7	4	1886	220	5	4	1209	2404	5	55	5	2731
L04679CT00	1389	5468	23	14	45	0	22939	12	4699	8	2183	42	3162	17	3	249
N09846M600	3247	5011	4114	3680	67	26	127	244	5058	354	1419	7215	1507	1019	10	38
N09749Y100	18	3	58	454	14	1710	4	4	2	8	3	3	12	17	2	5
L03941CT00	48	23	4223	22431	30	770	16	5	8	2	10	286	13	566	18	6
L11839SN00	16615	5998	2738	330	510	1	3503	51	47	7297	3421	81	851	387	21	3092
M73595-PR00	242	1743	1882	2434	30	262	21	174	336	515	1467	3	158	3577	703	515
L82160-IM00	9110	1411	538	43	295	1	2591	33	336	1	2337	53	566	787	0	237
N80756-PR00	28	12647	1692	7102	6	34	3	1	3	13	10	948	174	4841	8072	2
M54895-IM00	2157	1641	1192	3031	674	3	397	301	361	894	365	310	436	705	578	288
L74230-IM00	7834	5981	348	61	18	0	2917	114	13263	1707	2512	128	348	488	1	1290
L19122SN00	11621	3903	3021	1957	346	7	1220	9720	1145	1970	2473	4450	1285	340	174	752
L90804-PR00	2611	6138	2018	370	195	0	2751	7	7	6461	2051	32	2132	573	2	642
L09747SN00	11902	718	755	393	797	9	2029	778	99	42	302	12	465	49	25	489
L04784CT01	1597	189	16922	7490	7677	95	4	3	4	940	5	5	14165	389	269	49
N84497-IM00	374	2222	642	1397	139	1	172	904	4	164	281	223	230	606	147	461
N20813SN00	4108	1208	1892	980	39	24	397	13702	15955	110	2839	15868	253	460	5	745
M20244Y100	520	2016	1429	1525	16	40	38	245	87	1241	352	2850	466	447	2587	119
M57743-IM00	3269	6758	2073	2639	1081	11	1445	5801	7505	60	985	1998	578	410	171	778
L11504Y100	13240	27	5416	2363	18644	218	208	3	3	7	6	5	273	231	8655	20
L72183-IM00	277	488	2808	9602	1	21	13	787	165	7	1	553	58	903	1068	9
M16518SN00	5229	195	975	4390	4695	13	295	5	314	4	90	1	27	624	397	5
M69819-IM00	3150	11295	1566	2322	294	2	1557	2695	1428	2817	1980	5169	1738	1077	3	2184
M06785M600	25213	26225	1973	169	4384	13	7518	104	218	1167	5227	80	1507	1900	9	5347
